Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
"D’ici 2030, intensifier l’agriculture sur une superficie de 700 km² pour réduire la conversion des forets en terres cultivés","By 2030, intensify agriculture on an area of 700 km² to reduce the conversion of forests into cultivated lands.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,"I'm sorry, but ""Burundi"" is already in English.",700.00,"Avoid
Reduce
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Improve water use for irrigation
3.3 Rehabilitate bare or degraded land for crop production
3.4 Practise sustainable land management
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,Polygon
"D’ici 2030, pratiquer  l’agroforesterie sur une superficie de 586 km² pour éviter et réduire la perte de productivité liée la conversion des forêts en terres cultivées","By 2030, practice agroforestry on an area of 586 km² to prevent and reduce productivity loss associated with the conversion of forests to cultivated land.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,"There is nothing to translate as ""Burundi"" is already in English.",586.00,"Avoid
Reduce
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Rehabilitate bare or degraded land for crop production
3.3 Practise sustainable land management
3.4 Halt/reduce conversion of cropland to other land cover types
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,14 Restore/improve multiple functions,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16 Other/general/unspecified
16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Achieve LDN
",ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"D’ici 2030, reboiser 434km² des terres forestières converties en prairies",Reforest 434km² of forest land converted to grasslands by 2030.,Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,"There is nothing to translate in ""Burundi"" as it is already in English.",434.00,"Reduce
Reverse
",NA,"2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Achieve LDN
",ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"D’ici 2030, intensifier la lutte antiérosive et l’utilisation de l’engrais vert sur une superficie de 963km² pour réduire la conversion des terres cultivées en pâturage","By 2030, intensify anti-erosion efforts and the use of green manure on an area of 963 square kilometers to reduce the conversion of cultivated land into pasture.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,Burundi,963.00,"Reduce
Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Rehabilitate bare or degraded land for crop production
3.3 Practise sustainable land management
3.4 Halt/reduce conversion of cropland to other land cover types
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,13 Reduce/halt conversion of multiple land uses,14 Restore/improve multiple functions,NA,NA,achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"D’ici 2030,  restaurer 104km² des terres cultivées converties en terres artificielles","By 2030, restore 104km² of cultivated land converted into artificial land.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,Burundi,104.00,"Reduce
",NA,NA,NA,NA,NA,NA,"7 Manage artificial surfaces
7.1 Restore degraded mining areas
",NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Restore vegetation cover (unspecified land use)
16.2 Achieve LDN
",ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"D’ici 2030,  intensifier l’aménagement des bassins versants  sur une superficie de 66 Km² pour améliorer le stock du carbone dans les zones forestières converties en zones humides ","By 2030, intensify watershed management over an area of 66 km² to improve carbon stock in forest areas converted to wetlands.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,Burundi,66.00,"Reduce
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",achieved,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
"D’ici 2030, améliorer les pratiques culturales sur une étendue de 2400km² pour accroitre la productivité des terres cultivées ","By 2030, improve farming practices on an area of 2400km² to increase the productivity of cultivated land.",Burundi,BDI,Participation in the LDN Target Setting Programme,NA,2030,Burundi,Burundi,2400.00,"Reduce
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Improve water use for irrigation
3.3 Rehabilitate bare or degraded land for crop production
3.4 Practise sustainable land management
3.5 Halt/reduce conversion of cropland to other land cover types
",NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Increase carbon stock and reduce soil/land degradation
6.4 Improve watershed/landscape management
",NA,NA,NA,NA,"11 General instrument (e.g. policies, economic incentives)",NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,"16 Other/general/unspecified
16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Restore vegetation cover (unspecified land use)
16.3 Achieve LDN
16.4 Improve land productivity (unspecified land use)
",ongoing,"Convention on Biological Diversity
United Nations Framework Convention
Bonn Challenge
",active,NA,NA
NA,NA,Burundi,BDI,2022 reporting,NA,NA,NA,NA,3.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,Polygon
NA,NA,Burundi,BDI,2022 reporting,NA,NA,NA,NA,3.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,Polygon
NA,NA,Burundi,BDI,2022 reporting,NA,NA,NA,NA,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,Polygon
