Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 and an additional 10% of the national territory by 2030 (net gain),NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,national territory,NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Avoid/prevent/halt degradation (of degraded lands)
16.2 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in the land degradation hotspots: Kafr El Sheikh Governorate, Demiata Gov., Rasheed area, El Minia Gov., Sohag Gov., Al Fayoum, Mersa Matrouh Gov. (Fuka – El Sallum), El Khattara area, El Tina Plain area, El Farafra oasis and North Sinai in Egypt by 2030 as compared to 2015 and an additional 10% of the degraded hotspot areas has improved (net gain).",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,"Kafr El Sheikh Governorate, Demiata Gov., Rasheed area, El Minia Gov., Sohag Gov., Al Fayoum, Mersa Matrouh Gov. (Fuka – El Sallum), El Khattara area, El Tina Plain area, El Farafra oasis and North Sinai in Egypt",NA,NA,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"Improve productivity and carbon stocks of 3,342 km2 (802,080 feddan) of cultivated areas by 2030.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,cultivated areas,cultivated areas,3342.00,"Reverse
",NA,NA,"3.1 Increase land productivity in agricultural areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Restore and increase the productivity of 11,666 km2 (2,800,000 feddan) of cropland using modern agricultural techniques and SLM practices in the northern areas, western and eastern fringes of reclaimed lands of Nile Delta and El Tina Plain area by 2030.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,"northern areas, western and eastern fringes of reclaimed lands of Nile Delta and El Tina Plain area",NA,11666.00,"Reduce
Reverse
",NA,NA,"3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Rehabilitate and increase the productivity of 8,000 km2 (1,920,000 feddan) of rangeland and rainfed areas using SLM practices in the north coastal areas (rangelands and rain-fed farming areas) by 2030.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,rangelands and rain-fed farming areas in the north coastal areas,NA,8000.00,"Reduce
Reverse
",NA,NA,"3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Rehabilitate and increase the productivity of 7,500 km2 (1,800,000 feddan) of cropland using SLM practices in the reclaimed areas in western desert fringes of middle and upper Egypt Governorates by 2030.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,Reclaimed areas in western desert fringes of middle and upper Egypt Governorates,NA,7500.00,"Reduce
Reverse
",NA,NA,"3.1 Increase land productivity in agricultural areas
3.2 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Reclamation and cultivation of 6,300 km2 (1.5 million feddan) of virgin land in reclaimed desert soils at different locations in the western desert of Egypt by 2030.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,virgin land in reclaimed desert soils at different locations in the western desert of Egypt,NA,6300.00,"Reduce
Reverse
",NA,NA,"3.1 Rehabilitate bare or degraded land for crop production
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Gain in land productivity and SOC stocks in about 8,333 km2 of cropland in reclaimed desert lands at different location (cultivated areas) by 2030 as compared to 2015.",NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,reclaimed desert lands at different location (cultivated areas),NA,8333.00,"Reduce
Reverse
",NA,NA,"3.1 Increase land productivity in agricultural areas
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
Halt the conversion of cropland to other land cover classes by 2030.,NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,"Reduce
",NA,NA,"3.1 Halt/reduce conversion of cropland to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase by 25% forest cover / tree cover through agroforestry and SLM in existing forests by 2030 as compared to 2015.,NA,Egypt,EGY,Participation in the LDN Target Setting Programme,NA,2030,existing forests,NA,NA,"Reduce
Reverse
","1 Restore/improve tree-covered areas
",NA,"3.1 Practise sustainable land management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14 Restore/improve multiple functions,NA,NA,ongoing,NA,active,NA,NA
