Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
Halt further agricultural land conversion by 2030,NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,Mauritius Island,NA,NA,NA,NA,"3 Restore/improve croplands
3.1 Halt/reduce conversion of cropland to other land cover types
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Maintain and expand agriculture land in Mauritius island from 61,040 ha to 71,182 ha including the rehabilitation of 10,142 hectares of abandoned sugar cane land into Agroforestry, crop production using bio-farming and smart agricultural practices by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,"I'm sorry, ""Mauritius Island"" is already in English.",711.82,NA,NA,NA,"3 Restore/improve croplands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Maintain and expand forest cover in Mauritius island to 52,290 ha including restoration of mountain and river reserves and expansion of 4530 hectares forests into protected areas in private forest  land by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,Mauritius Island,522.90,NA,"1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
","2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
"Minimise impervious layers from Ride to reef, limit maximum building plot coverage to 40% in rural inland areas and 20% coastal areas, encourage  vertical building extension and contain sprawl of urban (artificial) areas  within 44,283 ha in Mauritius island by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,Mauritius Island,442.83,NA,NA,NA,NA,NA,NA,NA,"7 Manage artificial surfaces
7.1 Halt/reduce/regulate expansion of urban/artificial surfaces
",NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Maintain and restore 403 ha of Wetlands and mangroves areas by ecosystem based adaptations,NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,Mauritius Island,4.03,NA,NA,NA,NA,NA,"5 Restore/improve wetlands
5.1 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Maintain and restore 187 ha of coastal sand area from coastal erosion and sea level rise by ecosystem based adaptation,NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Mauritius Island,"Sorry, this text is already in English.",1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Improve coastal management
10.1 Reduce coastal erosion
",NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Increase forest cover in Rodrigues  Island to 3,950 ha by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Rodrigues Island,Rodrigues Island,39.50,NA,"1 Restore/improve tree-covered areas
1.1 Restore tree-covered areas
","2 Increase tree-covered area extent
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Restore 1,379 ha of degraded pasture land in Rodrigues Island by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Rodrigues Island,"There is no meaning to the name ""Rodrigues Island"" as it is already in English.",13.79,NA,NA,NA,NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
"Minimise impervious layers from ridge to reefs by; limiting building plot coverage 20% coastal areas to 40% on inland (ridge) areas, and encourage vertical building extension and contain sprawl of urban artificial areas within 678 ha in Rodrigues island by 2030",NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Rodrigues Island,"I'm sorry, ""Rodrigues Island"" is already in English and does not need translation.",6.78,NA,NA,NA,NA,NA,NA,NA,"7 Manage artificial surfaces
7.1 Halt/reduce/regulate expansion of urban/artificial surfaces
",NA,NA,"10 Improve coastal management
10.1 Reduce coastal erosion
",NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Other/general/unspecified
",ongoing,NA,active,NA,NA
Maintain and restore 53.4 ha of Wetlands and mangroves areas using ecosystem based adaptation,NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Rodrigues Island,Rodrigues Island,0.53,NA,NA,NA,NA,NA,"5 Restore/improve wetlands
5.1 Restore/preserve wetlands and reduce degradation of wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Maintain and restore 90 ha of coastal sand area from coastal erosion and sea level rise using ecosystem based adaptation,NA,Mauritius,MUS,Participation in the LDN Target Setting Programme,NA,2030,Rodrigues Island,"There is no additional context or information provided with the text ""Rodrigues Island"", therefore it is already in English and does not require translation.",0.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Improve coastal management
10.1 Reduce coastal erosion
",NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
