Country,Country ISO3,Relevant target,Relevant target (Unofficial English translation generated by Artificial Intelligence),Implemented Action,Other implemented action,Other implemented action (Unofficial English translation generated by Artificial Intelligence),Location,Location (Unofficial English translation generated by Artificial Intelligence),Date the action started,Extent of action,Total area implemented,Geometry UID,Geometry type
Gambia,GMB,Rehabilitate 1099 sq km of degraded grassland and cropland with declining productivity and early signs of decline for crop production and forestry by 2030 ,NA,Same As Targeted Actions,NA,NA,Dobo Forest park in Central Badibu District,NA,2020-08-18,5.7,16.7,NA,MultiPolygon
Gambia,GMB,Rehabilitate 1099 sq km of degraded grassland and cropland with declining productivity and early signs of decline for crop production and forestry by 2030 ,NA,Same As Targeted Actions,NA,NA,Pakala Forest Park in Upper Badibu District,"I'm sorry, but ""Pakala Forest Park in Upper Badibu District"" is already in English.",2016-08-10,11.0,16.7,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Balengo, Upper Badibu District",This text cannot be translated as it appears to be a location or proper noun.,2017-03-01,0.6,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Chamen Bai Dam, Lower Niumi District","There is no meaning to ""Chamen Bai Dam, Lower Niumi District"" and it does not require translation as it is already in English.",2017-03-01,0.4,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Chessy Majaw, Jokadu District",NA,2017-03-01,0.6,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kubandar, Upper Badibu District","I'm sorry, but ""Kubandar, Upper Badibu District"" does not appear to be in a language that can be translated.",2017-03-01,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Batelling, Kiang West District","I'm sorry, but the text ""Batelling, Kiang West District"" does not appear to be in a language that I can translate. If you have any other text that you would like me to translate, please feel free to provide it.",2019-01-01,2.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Geniere, Kiang East District","I'm sorry, the text ""Geniere, Kiang East District"" does not appear to have a specific meaning or language, and it is already in English.",2016-02-02,0.8,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Jabisa, Jarra Central District","There is no meaning or translation for the text ""Jabisa, Jarra Central District"" as it appears to be a proper noun.",2017-02-01,0.8,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Jali, Kiang West District","Jali, Kiang West District",2016-06-01,4.4,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Jassong, Jarra East District",NA,2020-03-11,3.8,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Jula Kunda, Kiang West District","I am sorry, but ""Jula Kunda, Kiang West District"" appears to be a proper noun and does not have a direct translation in English.",2017-05-03,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kani Kunda Suba, Sabach Sanjal District","Kani Kunda Suba, Sabach Sanjal District",2019-01-01,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kani Kunda Tenda, Sabach Sanjal District","I'm sorry, but the text ""Kani Kunda Tenda, Sabach Sanjal District"" does not have a clear meaning and does not appear to be in a specific language for translation into English.",2019-01-01,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kantong Kunda, Kiang West District","I'm sorry, but ""Kantong Kunda, Kiang West District"" does not have a specific meaning in English and does not require translation as it is already in English.",2019-01-03,1.8,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Keneba, Kiang West District","Keneba, Kiang West District",2019-02-01,0.2,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kunjata, Sabach Sanjal District","I'm sorry, but ""Kunjata, Sabach Sanjal District"" does not appear to be a recognizable text or phrase in any language.",2019-03-02,1.0,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kussi, Wuli District","I'm sorry, but the text ""Kussi, Wuli District"" does not have a specific meaning or translation in English.",2019-03-04,0.6,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Kwinella Nya Kunda, Kiang Central","I'm sorry, the text ""Kwinella Nya Kunda, Kiang Central"" does not have a clear meaning and does not require translation.",2019-05-02,2.0,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Mandina, Kiang West District",NA,2016-04-02,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"sare Legay and Koro Numu Kunda, Jimara District","I'm sorry, the text provided does not appear to be in a recognizable language.",2019-02-02,2.7,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Sare Sambel and Sare Sambaru, Jimara District","There is no meaning in the text ""Sare Sambel and Sare Sambaru, Jimara District""",2019-02-02,1.2,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Sare Sarjo and Jatta Kunda, Kiang Central","Sare Sarjo and Jatta Kunda, Kiang Central",2019-02-04,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Tambana, Jokadu District","Tambana, Jokadu District",2019-01-03,0.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Tuba Wuli, Wuli District",This text is already in English.,2019-05-06,0.9,37.9,NA,MultiPolygon
Gambia,GMB,"Halt the conversion of forests and wetlands to other land cover classes by 2025 
",NA,Same As Targeted Actions,NA,NA,Along the Bintang Bolong Tributary,"I'm sorry, but the text ""Along the Bintang Bolong Tributary"" is already in English and does not need to be translated.",2012-08-15,9.0,410.3,NA,Point
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,"Nana Cluster, Niamina West District",NA,2019-06-04,5.4,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Bayaba,Bayaba,2019-07-17,0.2,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Fittu Fula,"There is no meaning to the phrase ""Fittu Fula"" in English.",2019-04-05,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Gounta,NA,2019-06-10,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Jallow Kunda Sering ,"I'm sorry, but ""Jallow Kunda Sering"" does not have a specific meaning in English.",2018-05-07,0.5,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Jallube Tukulor,"I'm sorry, ""Jallube Tukulor"" does not have a specific meaning or translation in English.",2019-05-14,0.3,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Jamwelly Pere Gimiss,NA,2019-11-20,0.1,37.9,NA,MultiPolygon
Gambia,GMB,Increase Forest Cover by 10% by 2030,NA,Same As Targeted Actions,NA,NA,Jimbala Falingho,This text is not in any recognizable language.,2019-08-09,0.4,37.9,NA,MultiPolygon
