Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
LDN is achieved by 2030 as compared to 2015 (no net loss),NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved by 2030 as compared to 2015 and an additional 10% of the national territory has improved (net gain),NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,National,NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
LDN is achieved in each of the former 10 states of South Sudan by 2030 as compared to 2015 (no net loss),NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,"Sub-national, former 10 states of South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"LDN is achieved in the semi-arid areas, northern borders of South Sudan, and around main towns in South Sudan as well as on Dongotono, Didinga, and Imatong moutains by 2030 as compared to 2015 and an additional 25% of the territory has improved (net gain)",NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,"Sub-national, semi-arid areas, northern borders of South Sudan, and around main towns in South Sudan as well as on Dongotono, Didinga, and Imatong moutains",NA,NA,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Achieve LDN
",ongoing,NA,active,NA,NA
"Improve productivity in 21,950.6 km² and 2,194.4 km2 SOC stocks in lands of South Sudan by 2030 as compared to 2015",NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,National,NA,24145.00,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Increase carbon stock and reduce soil/land degradation
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 Other/general/unspecified
16.1 Improve land productivity (unspecified land use)
",ongoing,NA,active,NA,NA
"Rehabilitate 27,019.6 km² of degraded and abandoned land of South Sudan by 2030",NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,National,NA,27019.60,NA,NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Halt the conversion of forests and wetlands to other land cover classes by 2030,NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,"1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
",NA,NA,NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Increase forest cover by 20% by 2030 as compared to 2015,NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,"2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,NA
Reduce the rate of soil sealing (conversion to artificial land cover) by 100% by 2030 as compared to 2015,NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 Reduce/halt conversion of multiple land uses,NA,NA,NA,ongoing,NA,active,NA,NA
LDN is achieved in each of the former 10 states of South Sudan by 2030 as compared to 2015 (no net loss),NA,South Sudan,SSD,Participation in the LDN Target Setting Programme,NA,2030,"Central Equatoria, Western Equatoria, Eastern Equatoria, Northern Bahr El Ghazal, Western Bahr El Ghazal, Lakes, Warrap, Upper Nile, Unity and Jonglei States ",NA,NA,"Avoid
Reduce
Reverse
","1 Restore/improve tree-covered areas
1.1 Reduce/halt deforestation and conversion of tree cover to other land cover types
1.2 Restore tree-covered areas
1.3 Restore/improve grasslands
1.4 Improve tree cover management
","2 Increase tree-covered area extent
2.1 Increase tree covered land (net gain)","3 Restore/improve croplands
3.1 Increase land productivity in agricultural areas
3.2 Improve water use for irrigation
3.3 Practise sustainable land management
",NA,"5 Restore/improve wetlands
5.1 Halt/reduce wetland conversion to other land uses (includes conserving wetlands)
5.2 Restore/preserve wetlands and reduce degradation of wetlands
",NA,"7 Manage artificial surfaces
7.1 Restore degraded mining areas
7.2 Improve land productivity on artificial surfaces
7.3 Halt/reduce/regulate expansion of urban/artificial surfaces
","8 Restore/improve protected areas
8.1 Restore protected areas
8.2 Improve management of protected areas
","9 Increase protected areas
9.1 Increase protected area extent",NA,"11 General instrument (e.g. policies, economic incentives)",NA,13 Reduce/halt conversion of multiple land uses,NA,NA,NA,ongoing,"AFR100
Convention on Biological Diversity
United Nations Framework Convention
",active,NA,NA
